REAPER,VST/VSTi INSTALLED EXTRACTOR
Version:,3.1 FERRETS
by:,Tormy Van Cool
Date:,2023-08-29 17:01:13

CHECK,N.,INSTR.,VST/VSTi/AU/CLAP NAME (Manufacturer),FILE (VSTs) - INST-NotINST (AUs) - CLAP (for Clap Plugins)
,267,,Expurgate (DMGAudio),Expurgate.vst3
,268,,denise - Bad Tape 2 (denise),DeniseBadTape2.vst3
,269,,denise - Bite Harder (denise),DeniseBiteHarder.vst3
,270,,denise - Dragon Fire (denise),DeniseDragonFire.vst3
,271,,Denise - God Mode (Denise),DeniseGodMode.vst3
,272,,denise - Perfect Plate XL (denise),DenisePerfectPlateXL.vst3
,273,,Denise - Perfect Room (Denise),DenisePerfectRoom.vst3
,274,,denise - poltergate (denise),DenisePoltergate.vst3
,275,,denise - Sub Generator (denise),DeniseSubGenerator.vst3
,276,,MagicDeathEyeStereo (DDMF),MagicDeathEyeStereo_64.vst3
,277,,Melodyne (Celemony),Melodyne.vst3
,278,,ShaperBox 3 (Cableguys),ShaperBox_3.vst3
,279,,Alborosie Dub Station (AudioThing),AlborosieDubStation.vst3
,280,,Megaphone (AudioThing),Megaphone_x64.vst3
,281,,Outer Space (AudioThing),OuterSpace_x64.vst3
,282,,Reels (AudioThing),Reels.vst3
,283,,Speakers (AudioThing),Speakers.vst3
,284,,Springs (AudioThing),Springs.vst3
,285,,Type A (AudioThing),TypeA_x64.vst3
,286,,Type B (AudioThing),TypeB.vst3
,287,,Valves (AudioThing),Valves.vst3
,288,,Vinyl Strip (AudioThing),VinylStrip_x64.vst3
,289,,Wires (AudioThing),Wires.vst3
,290,,Big Goat (Audiority),Big_Goat.vst3
,291,,Blue Face (Audiority),Blue_Face.vst3
,292,,Chorus Ensembler (Audiority),Chorus_Ensembler.vst3
,293,,Distortion 1 mkII (Audiority),Distortion_1_mkII.vst3
,294,,Dr Drive (Audiority),Dr_Drive.vst3
,295,,Dr Phase (Audiority),Dr_Phase.vst3
,296,,Echoes T7E mkII (Audiority),Echoes_T7E_mkII.vst3
,297,,Green Reaper (Audiority),Green_Reaper.vst3
,298,,Heavy Pedal mkII (Audiority),Heavy_Pedal_mkII.vst3
,299,,Klirrton Grindstein (Audiority),Klirrton_Grindstein.vst3
,300,,L12X Solid State Amplifier (Audiority),L12X_Solid_State_Amplifier.vst3
,301,,LDC2 Compander (Audiority),LDC2_Compander.vst3
,302,,Octaver 82 (Audiority),Octaver_82.vst3
,303,,Solidus Randy 250 (Audiority),Solidus_Randy_250.vst3
,304,,Solidus VS8100 (Audiority),Solidus_VS8100.vst3
,305,,Space Station UM282 (Audiority),Space_Station_UM282.vst3
,306,,Bus FORCE (Arturia),Bus_FORCE.vst3
,307,,Chorus DIMENSION-D (Arturia),Chorus_DIMENSION_D.vst3
,308,,Chorus JUN-6 (Arturia),Chorus_JUN_6.vst3
,309,,Comp DIODE-609 (Arturia),Comp_DIODE_609.vst3
,310,,Comp FET-76 (Arturia),Comp_FET_76.vst3
,311,,Comp TUBE-STA (Arturia),Comp_TUBE_STA.vst3
,312,,Comp VCA-65 (Arturia),Comp_VCA_65.vst3
,313,,Delay BRIGADE (Arturia),Delay_BRIGADE.vst3
,314,,Delay ETERNITY (Arturia),Delay_ETERNITY.vst3
,315,,Delay TAPE-201 (Arturia),Delay_TAPE_201.vst3
,316,,Dist COLDFIRE (Arturia),Dist_COLDFIRE.vst3
,317,,Dist OPAMP-21 (Arturia),Dist_OPAMP_21.vst3
,318,,Dist TUBE-CULTURE (Arturia),Dist_TUBE_CULTURE.vst3
,319,,Efx FRAGMENTS (Arturia),Efx_FRAGMENTS.vst3
,320,,EQ SITRAL-295 (Arturia),EQ_SITRAL_295.vst3
,321,,Filter M12 (Arturia),Filter_M12.vst3
,322,,Filter MINI (Arturia),Filter_MINI.vst3
,323,,Filter MS-20 (Arturia),Filter_MS_20.vst3
,324,,Filter SEM (Arturia),Filter_SEM.vst3
,325,,Flanger BL-20 (Arturia),Flanger_BL_20.vst3
,326,,Phaser BI-TRON (Arturia),Phaser_BI_TRON.vst3
,327,Instr.,Pigments (Arturia)!!!VSTi,Pigments.vst3
,328,,Pre 1973 (Arturia),Pre_1973.vst3
,329,,Pre TridA (Arturia),Pre_TridA.vst3
,330,,Pre V76 (Arturia),Pre_V76.vst3
,331,,Rev INTENSITY (Arturia),Rev_INTENSITY.vst3
,332,,Rev LX-24 (Arturia),Rev_LX_24.vst3
,333,,Rev PLATE-140 (Arturia),Rev_PLATE_140.vst3
,334,,Rev SPRING-636 (Arturia),Rev_SPRING_636.vst3
,335,,Tape MELLO-FI (Arturia),Tape_MELLO_FI.vst3
,336,,Auto-Key (Antares),Auto_Key.vst3
,337,,Auto-Tune Pro (Antares),Auto_Tune.vst3
,338,,DeSibilizer (A.O.M.),DeSibilizer.vst3
,339,,Invisible Limiter (A.O.M.),Invisible_Limiter.vst3
,340,,Invisible Limiter G2 (A.O.M.),Invisible_Limiter_G2.vst3
,341,,Invisible Limiter G3 (A.O.M.),Invisible_Limiter_G3.vst3
,342,Instr.,Ample Guitar M (Ample Sound)!!!VSTi,Ample_Guitar_M.dll
,343,,Gain Reduction (Joey Sturgis Tones),Gain_Reduction_Deluxe_v2.0.8.dll
,344,,RC-20 Retro Color (XLN Audio),RC_20_Retro_Color.dll
,345,,DrumReplacer (UVI),DrumReplacerVST.dll
,346,Instr.,Falcon (UVI) (34 out)!!!VSTi,FalconVSTx64.dll
,347,,Omega 458A (Kush Audio),Omega_458A.dll
,348,,Omega A (Kush Audio),Omega_A.dll
,349,,Omega N (Kush Audio),Omega_N.dll
,350,,Omega TWK (Kush Audio),Omega_TWK.dll
,351,,SampleGrabber v3 (Flux:: sound and picture development) (8ch),SampleGrabberV3.dll
,352,,The Glue (Cytomic),The_Glue_64.dll
